walk,135,92,953,315,244
walk,135,92,639,451,243
walk,135,92,298,470,243
walk,135,92,82,482,243
walk,135,92,-119,480,244
walk,134,92,1346,484,27
walk,134,92,1049,478,13
walk,134,92,629,481,12
walk,134,92,244,476,12
walk,133,92,1826,485,28
walk,133,92,1612,374,103
walk,133,92,1179,229,178
walk,133,92,935,276,268
walk,133,92,619,260,317
walk,133,92,402,273,407
walk,132,92,1724,472,592
walk,132,92,1474,668,605
walk,132,92,1247,837,665
walk,132,92,926,969,696
walk,132,92,688,967,699
walk,132,92,418,981,669
walk,132,92,183,1079,646
walk,131,92,1792,1109,593
walk,131,92,1434,1066,553
walk,131,92,1078,1055,559
walk,131,92,655,1053,575
walk,131,92,191,1071,575
walk,130,92,1834,1061,549
walk,130,92,1431,1079,550
walk,130,92,984,1120,601
walk,130,92,689,1081,682
walk,130,92,431,1027,755
walk,129,92,1911,891,834
walk,129,92,1579,833,885
walk,129,92,1330,745,875
walk,129,92,949,513,800
walk,129,92,702,373,800
walk,129,92,476,255,800
walk,129,92,351,183,800
walk,129,92,138,68,800
walk,128,91,1789,1843,800
walk,128,91,1532,1715,800
walk,128,91,1307,1601,800
walk,128,91,1062,1465,800
walk,128,91,803,1290,800
walk,128,91,598,1112,800
walk,128,91,375,959,800
walk,128,91,82,755,800
walk,127,91,1752,606,800
walk,127,91,1480,436,800
walk,127,91,1244,279,800
walk,127,91,937,158,800
walk,127,91,712,80,800
walk,127,90,355,1752,800
walk,126,90,1860,1421,800
walk,126,90,1634,1230,800
walk,126,90,1447,1082,800
walk,126,90,1279,935,800
walk,126,90,1045,720,800
walk,126,90,784,513,800
walk,126,90,546,240,800
walk,126,89,307,1840,800
walk,126,89,113,1544,800
walk,125,89,1833,1191,800
walk,125,89,1643,844,800
walk,125,89,1455,529,800
walk,125,89,1448,118,815
walk,125,88,1446,1903,830
walk,125,88,1436,1671,825
walk,125,88,1320,1574,847
walk,125,88,1177,1372,855
walk,125,88,975,1125,855
walk,125,88,829,937,855
walk,125,88,653,726,855
walk,125,88,513,574,857
walk,125,88,296,318,857
walk,125,88,144,139,861
walk,124,87,1888,1876,861
walk,124,87,1684,1644,862
walk,125,87,57,1390,857
walk,125,87,367,1165,857
walk,125,87,641,1026,899
walk,125,87,810,974,916
walk,125,87,1141,921,979
walk,125,87,1474,913,1042
walk,125,87,1799,948,1124
walk,126,87,207,1006,1266
walk,126,87,480,1033,1364
walk,126,87,669,1067,1439
walk,126,87,877,1071,1489
walk,126,87,1131,1024,1496
walk,126,87,1190,924,1504
