walk,135,92,1298,238,244
walk,135,92,1469,368,244
walk,135,92,1652,452,243
walk,135,92,1851,454,243
walk,136,92,147,458,243
walk,136,92,316,464,243
walk,136,92,449,468,244
walk,136,92,664,474,147
walk,136,92,921,480,26
walk,136,92,1049,482,11
walk,136,92,1308,487,13
walk,136,92,1566,481,11
walk,136,92,1841,482,11
walk,136,92,2093,482,11
walk,137,92,490,483,8
walk,137,92,584,557,7
walk,137,92,685,673,9
walk,137,92,793,748,7
walk,137,92,904,774,7
walk,137,92,1046,792,9
walk,137,92,1209,792,12
walk,137,92,1335,759,16
walk,137,92,1520,719,23
walk,137,92,1754,664,12
walk,137,92,1909,680,12
walk,138,92,215,767,16
walk,138,92,388,836,21
walk,138,92,600,876,24
walk,138,92,728,847,28
walk,138,92,888,829,20
walk,138,92,1113,807,17
walk,138,92,1355,752,2
walk,138,92,1559,604,-8
walk,138,92,1741,450,-16
walk,139,92,26,360,-19
walk,139,92,242,290,-19
walk,139,92,472,216,-26
walk,139,92,620,194,-24
walk,139,92,794,195,-29
walk,139,92,976,167,-32
walk,139,92,1176,142,-27
walk,139,92,1380,128,-27
walk,139,92,1637,109,-32
walk,139,92,1875,79,-34
walk,140,92,162,14,-27
walk,140,91,504,1808,-21
walk,140,91,693,1666,-22
walk,140,91,902,1487,-24
walk,140,91,1079,1352,-30
walk,140,91,1156,1320,-24
wait,5000
teleport,2,14
wait,5000
walk,143,91,726,1707,-19
walk,143,91,909,1579,-14
walk,143,91,1017,1495,-13
walk,143,91,1194,1399,-10
walk,143,91,1385,1321,-10
walk,143,91,1575,1352,-3
walk,143,91,1805,1428,6
walk,144,91,88,1521,19
walk,144,91,294,1633,46
walk,144,91,467,1749,72
walk,144,91,608,1883,83
walk,144,92,730,93,85
