walk,135,92,1302,337,244
walk,135,92,1560,440,244
walk,135,92,1804,457,243
walk,136,92,126,465,243
walk,136,92,349,473,244
walk,136,92,657,480,147
walk,136,92,896,483,27
walk,136,92,1224,485,12
walk,136,92,1466,483,11
walk,136,92,1692,481,11
walk,136,92,1926,479,11
walk,137,92,247,483,11
walk,137,92,460,482,11
walk,137,92,508,473,8
walk,137,92,560,389,8
walk,137,92,591,278,7
walk,137,92,628,190,4
walk,137,92,719,109,0
walk,137,92,1017,38,-4
walk,137,91,1244,1911,13
walk,137,91,1473,1870,59
walk,137,91,1807,1822,68
walk,138,91,137,1796,57
walk,138,91,351,1781,52
walk,138,91,575,1785,44
walk,138,91,848,1841,27
walk,138,91,1124,1913,7
walk,138,92,1394,102,-2
walk,138,92,1551,222,-2
walk,138,92,1796,405,-16
walk,139,92,98,387,-16
walk,139,92,449,357,-13
walk,139,92,574,462,-1
walk,139,92,739,585,-2
walk,139,92,784,715,0
walk,139,92,863,762,0
walk,139,92,950,884,-5
walk,139,92,953,750,-5
walk,139,92,927,936,-5
walk,139,92,874,1219,-16
walk,139,92,783,1448,-2
walk,139,92,760,1636,-2
walk,139,92,835,1755,-3
walk,139,92,1000,1805,-14
walk,139,92,1202,1800,-9
walk,139,92,1251,1822,-2
walk,139,92,1388,1858,1 
